relative_path,extension,size_mb,pages_or_slides,classification,recommended_use,risk_or_action,extraction_status,extracted_chars,sha256
3.实践方案/弹性计算/弹性计算快速上手.docx,.docx,2.54,,D-二期技术库,用于性能优化、弹性计算或扩容专项追问，不属于首版产品匹配,实施类内容需技术专家复核后输出,ok,7906,d8fafb3c421e777319c95a149f854428340513c2b91fd9cdd4bef26ee1fb8b24
3.实践方案/版本升级/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,57,bfa4805968d73fadefa932b9ea14f9eb8bc45712ae6ad7a5f64439f5d964fbfa
3.实践方案/版本升级/TDH5.X升级9.3方案V1.1.docx,.docx,2.13,,E-排除首版,旧升级方案，已存在 V1.5.1,禁止默认召回,ok,24208,783ef06b3b6067ec569a717d99e3353c14a22cbc7f4bfa19c881c4767bf797b3
3.实践方案/版本升级/TDH升级方案-V1.1.pptx,.pptx,10.47,24,E-排除首版,与产品需求目录中的 V1.1 文件 SHA-256 完全一致，且已被 V1.5.1 替代,重复或旧版,ok,5801,8ed9ddb3ab75a3dfe59f8b3d13350174e89e4ef1b7f182be8bdf036d3cafdda6
3.实践方案/运维诊断（老版本，供参考）/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,66,93ac171353a4d0773b6865d39fbd5c2a66cfa993e8a5ee1a8c29d91aca19bba6
3.实践方案/运维诊断（老版本，供参考）/Hyperbase诊断流程v1.0.pdf,.pdf,4.19,33,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,7977,bd3b851a6c798cd76f67c6e7bda864517a60a567979f0b2bb2c99663d235abc5
3.实践方案/运维诊断（老版本，供参考）/Inceptor运维指南 v1.0.pdf,.pdf,2.27,19,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,9869,4722cc715531b7e9a3fab878cd9f55de05cf6399284cc2f3d6ce87cc9364b0ef
3.实践方案/运维诊断（老版本，供参考）/Manager诊断流程 v1.0.pdf,.pdf,2.43,36,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,11014,ece3992df50fd0f2ae6d7fd69c7eb2290037a540e5b1c4f260da391eaaeca24a
3.实践方案/运维诊断（老版本，供参考）/Search诊断流程v1.0.pdf,.pdf,2.69,25,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,7853,790557525b9659d8a8399664b044fecd82e573e740d897ae03868cf73b6d9c6d
3.实践方案/运维诊断（老版本，供参考）/Slipstream诊断流程v1.0.pdf,.pdf,2.64,31,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,5253,9e5896a390dc4ccbbd055bccedd4bc20f4ebeb3499daa8b8a70bc21e34fcbef3
3.实践方案/运维诊断（老版本，供参考）/TOS实操运维案例.doc,.doc,3.34,,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,5830,2badbaf586b4b928c47bbdecb493db54a7465b59e4f34dd155cebfe8d0ef2cdc
3.实践方案/运维诊断（老版本，供参考）/TOS诊断流程v1.0.pdf,.pdf,2.37,18,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,3917,b1b20c4c07f5e0470f4f59b7ce91143a3bd629853245e8736d45c3361571cce6
3.实践方案/运维诊断（老版本，供参考）/TOS运维与诊断.pptx,.pptx,3.02,35,E-排除首版,目录明确标注老版本，且与产品匹配助手目标无关,禁止默认召回,ok,15148,51e8d7a25a0709ff8c7568a4497814fc6ef185c347c01578faf16d0313a8248d
4.产品需求/.DS_Store,[no-extension],0.01,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,47,4598919125d79f4bd380f88f8c58be9702f6ca4ec400c6d2a79e643945dda6ba
4.产品需求/9.0/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,49,28d2b319af105d88cfb5d979aa1f2d79ec4393c6555a03e29206863649a90f0f
4.产品需求/9.0/NNUCIAC-RJ-20240428-001-软件测评报告（盖章扫描版）.pdf,.pdf,4.72,25,C-独立证据库,仅用于招投标举证、安全或性能证明，不参与一般产品推荐,报告版本、测试条件和有效期必须随答案展示,ok,516,4782f1d2b17da57cb098ae03b2b40681db1c216bbda298bef9a17d2bb81b7f8b
4.产品需求/9.0/产品手册 Word (Word版本不保证质量，请谨慎使用，仔细检查)/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,84,53eee07638b00b65ad1ab8510b1edd5b805afa38184e62f93f3509fbe7c97aa2
4.产品需求/9.0/产品手册 Word (Word版本不保证质量，请谨慎使用，仔细检查)/TDH 安装 9.0.docx,.docx,7.97,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,64371,473af170d5910729b511c8dc92d47860c56f944734927e5cc0079a8fa8746b44
4.产品需求/9.0/产品手册 Word (Word版本不保证质量，请谨慎使用，仔细检查)/TDH 运维 9.0.docx,.docx,15.16,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,86633,9eb11f3b3fb2a0eeac8b8e2913fcb186d5d37ad57780008e6e5703b03ff15365
4.产品需求/9.0/产品手册PDF/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,57,b27173daae257103a4bf26e98fe701d4a687f05a45b12eb77e021277bc233136
4.产品需求/9.0/产品手册PDF/Transwarp Event Store 用户手册.pdf,.pdf,2.26,86,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,72734,4a8d5b999ca72c6768897ac6d5dc0749cb9de01318dd544d178421459adc9682
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,88,f922a35223e9ba52dadedc4708e614e421e8e9795d7086cdbda27bb6951c97d9
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Event_Store_V9.3.3 使用手册.docx,.docx,1.79,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,72467,7ef8b4c7bb16f4df438369165bd4463a4a3a202c6d6440e7d2a21da808d21249
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/HDFS 用户手册.docx,.docx,3.68,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,40413,743dbf16a47381b99b9a9ada5fb7411bc3a7bfd7174069b89c2b5bed480ad53b
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/HDFS_V9.3.3 使用手册.docx,.docx,3.72,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,44293,261072fcaf92f491d78fa9c9f5c479db8dc38968713d0b6797c4344454404697
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Hippo_2.0 开发者指南.docx,.docx,3.04,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,270995,1bce0dc4c996f0b712f00b962d0b81c98d131ac0a287f8a6e7b52cc375525587
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Hyperbase_V9.3.3 使用手册.docx,.docx,3.74,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,155830,9b4567f5cb1cb4fcc441023fc7339758ece9a37203b2b828aab96fd87781d032
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Inceptor 使用手册（WPS打开，Word打开有问题）.docx,.docx,5.13,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,536169,ff544978765c3c06018aabad7b9e4709a07f0c67aad85949ed5ecf04fe2c45c3
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Inceptor_V9.3.3 使用手册.docx,.docx,5.83,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,679168,d3f767b593adbd75e705e8f36e53289184f3acfaaea36492085982131ed0a240
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Keybyte_V9.3.3 使用手册.docx,.docx,0.61,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,275483,69240ef6a3a1577c013d35d47b5dc847ad0e94acb6b1bb450feb4cb939e50273
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/QuarkGateway_V9.3.3 使用手册.docx,.docx,0.93,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,22463,91d06fbec1eaf6f8e3c2e4a26d40ae373bb503bcf86620169da404e98d8bd93f
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Scope_V2.5.0 使用手册.docx,.docx,5.41,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,241753,1ef57e55a464b2cb19387cd9dcdb4e8caa74fe6f441573e084d8767859576e8f
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Slipstream_V9.3.3 使用手册.docx,.docx,0.48,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,106728,f7a9e32fa418f27ed7feaf7db1a2f4803477d074a4cdb7454c2ef366b75ba496
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/Spacture_V9.3.3 使用手册.docx,.docx,4.17,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,232456,2bf0c48734345c90dd91dde96f5bc1faf20f13fa3339d9fd622d9abcf4a17594
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDFS 用户手册.docx,.docx,1.37,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,25638,7429e228a143f58a973a332348cc74b2e52ac97d6fed376ad2301adf6e0e8aa2
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH V9.3.3 安装手册.docx,.docx,14.70,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,31137,7e0aac0876f9f2d0fd231fc8464b2a2087c14342f3a97a18d25cbe592b6e2b8f
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH V9.3.3 运维手册.docx,.docx,22.67,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,58335,f3f0a539eb0ec168948237aa1fd0c1e8caeae1cdc4e7e333960f4274441979b3
4.产品需求/9.3/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TimeLyre_V9.3.3 使用手册.docx,.docx,3.49,,E-排除首版,旧版本资料，被 9.5 资料覆盖,仅在客户明确指定旧版本且专家批准后查阅,ok,231444,09996f2dc1a5bd7dc8660e0cb6aef5867c8a010b3cfc86f5e3062b548e0e3c47
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,88,d3a4858b1e9f681f07d9ad2c825c4ea51241eda9bf605f465199d3d50ac1ca4a
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Event_Store使用手册.docx,.docx,0.21,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,61195,f533e6e3787eb3db4454498294e551ea21884cc64044502e10a6822b652ebca7
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-HDFS_使用手册.docx,.docx,3.72,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,44289,0f1ce48838852967323f085743db2e7e8efac3fdfb0df84992052a70f9bf349f
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Hyperbase使用手册.docx,.docx,3.74,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,155910,7b0d04cf59854910b067824478876a96a4d849c199b623bd201a1a4deb2b9b23
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Inceptor使用手册.docx,.docx,22.33,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,915695,1e1f1dea1f837149f42f55870d2dfa4d70c70b658266030b8ec8d2bc295094cf
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Keybyte使用手册.docx,.docx,0.61,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,275497,0a5c858a46e6266eca763b469bfe27b2457ffabf868a5e698bd2de3d5e7a7ec0
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-QuarkGateway使用手册.docx,.docx,0.93,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,22453,103b1cf733f7838d7e8a1f661d098984d39e9216a8df6d74c8c9be48a66d13e9
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Scope使用手册.docx,.docx,3.81,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,252400,94da16926224a5b15b5b2978ed78aae49c3a3d825a7f031e14e81c8a48e99812
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Search使用手册.docx,.docx,0.49,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,93635,20614a24754df4402fb3c7beea21ead21ccbad69fe05ef8261e81a5046b6c417
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Slipstream使用手册.docx,.docx,0.49,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,110418,a1d197eae2849a972698922a6c70066cd2bbbe87e28c01fa12b516e9d63d26fa
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Spacture使用手册.docx,.docx,4.17,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,232452,54c88682cb692259fc406990c7ca52a84dd5b6f5ce3f12b11681137d33270ec7
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-TDH安装手册.docx,.docx,14.70,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,31125,f187e6e9f10fa37e52b0e884d3b1dbc61fb3bdf06804a0db52848fb4f0c4321f
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-TDH运维手册.docx,.docx,22.95,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,58868,49e090281b8872b47b7e52d315008fd6a561bc0936b70ae390c0432fa49a4aac
4.产品需求/9.5/产品手册 Word 版本 (不保证质量，请谨慎使用，仔细检查)/TDH-9.5-Timelyre使用手册.docx,.docx,3.50,,D-二期技术库,用于售前追问时核验组件细节，首版不参与默认召回,目录已注明 Word 质量不保证；应优先替换为官方发布版,ok,240824,672f2dd65f0f1b81601c62a591134e49d0512ceeb810c7914a9d8065de9b7999
4.产品需求/TDH 5.x升级至TDH 9.x方案/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,72,be2b99331c6785a09e51a656ed6933ea42bafa544f658e6f43ee3d0cea05e246
4.产品需求/TDH 5.x升级至TDH 9.x方案/TDH 升级方案V1.5.1.docx,.docx,38.91,,B-首版条件入库,仅用于老客户升级问答；实施步骤不得直接面向普通销售输出,只有命中对应场景时参与检索,ok,84326,9ae8cdb342890e2fba37417a87f0aa87a2926f9e4d4ae1f5b42aabdba7d16ce7
4.产品需求/TDH 5.x升级至TDH 9.x方案/TDH5系列版本EOS推广材料.pptx,.pptx,11.64,19,B-首版条件入库,仅用于老客户 EOS 与升级场景，需产品专家确认当前政策,只有命中对应场景时参与检索,ok,6313,136ab502bf8fb225298cf9091d74d49e5c4243bebf80a32d66da1aab9215989b
4.产品需求/TDH 5.x升级至TDH 9.x方案/TDH升级方案-V1.1.pptx,.pptx,10.47,24,E-排除首版,与实践方案目录中的 V1.1 文件 SHA-256 完全一致，且已被 V1.5.1 替代,重复或旧版,ok,5801,8ed9ddb3ab75a3dfe59f8b3d13350174e89e4ef1b7f182be8bdf036d3cafdda6
4.产品需求/TDH 5.x升级至TDH 9.x方案/kafka跨集群不停机扩容方案.txt,.txt,0.00,,D-二期技术库,用于性能优化、弹性计算或扩容专项追问，不属于首版产品匹配,实施类内容需技术专家复核后输出,ok,1296,7ab158b85f7ca27df77566b90728891d5536bbd720cbb91c49c83c819366d490
5.技术原理/.WeDrive,[no-extension],0.00,,E-排除首版,系统或网盘元数据，不含业务知识,禁止入库,ok,52,70e2886ebf92d75398a9cd05cd043d8ec7433f5dbe192f2b485b87be1d7f1fb1
5.技术原理/License科普_2022学习编辑版_v2.pptx,.pptx,1.60,21,E-排除首版,培训或内参资料年代较早，且不直接承担当前版本产品映射,可作为人工学习材料，不进入检索库,ok,2246,43d3f80228203c2f91ab1120aa82e90ae35f392e0631f7a623950635e2e140b8
5.技术原理/Transwarp Hyperbase 产品介绍 V1（内参版）_20200824.pptx,.pptx,3.97,102,E-排除首版,培训或内参资料年代较早，且不直接承担当前版本产品映射,可作为人工学习材料，不进入检索库,ok,23898,25292a027593b940dd18938364f3db8c060a159c3e7a72b4faa5ae036452e0d9
5.技术原理/第2讲-分布式文件系统HDFS_v4.0.pptx,.pptx,2.25,49,E-排除首版,培训或内参资料年代较早，且不直接承担当前版本产品映射,可作为人工学习材料，不进入检索库,ok,19338,e69994d7204301ef224009f7560f2a0fb5f005d0e92e6a591b3e5d4634785140
